Epoch: 0, Accuracy: 0.5
Epoch: 1, Accuracy: 0.5
Epoch: 2, Accuracy: 0.5
Epoch: 3, Accuracy: 0.5
Epoch: 4, Accuracy: 0.5
Epoch: 5, Accuracy: 0.5
Epoch: 6, Accuracy: 0.5
Epoch: 7, Accuracy: 0.5
Epoch: 8, Accuracy: 0.5
Epoch: 9, Accuracy: 0.5
Epoch: 10, Accuracy: 0.5
Epoch: 11, Accuracy: 0.5
Epoch: 12, Accuracy: 0.5
Epoch: 13, Accuracy: 0.5
Epoch: 14, Accuracy: 0.5
Epoch: 15, Accuracy: 0.5
Epoch: 16, Accuracy: 0.5
Epoch: 17, Accuracy: 0.5
Epoch: 18, Accuracy: 0.5
Epoch: 19, Accuracy: 0.5
Epoch: 20, Accuracy: 0.75
Epoch: 21, Accuracy: 0.75
Epoch: 22, Accuracy: 0.75
Epoch: 23, Accuracy: 0.75
Epoch: 24, Accuracy: 1.0
Epoch: 25, Accuracy: 1.0
Epoch: 26, Accuracy: 1.0
Epoch: 27, Accuracy: 1.0
Epoch: 28, Accuracy: 1.0
Epoch: 29, Accuracy: 1.0
Epoch: 30, Accuracy: 1.0
Epoch: 31, Accuracy: 1.0
Epoch: 32, Accuracy: 1.0
Epoch: 33, Accuracy: 1.0
Epoch: 34, Accuracy: 1.0
Epoch: 35, Accuracy: 1.0
Epoch: 36, Accuracy: 1.0
Epoch: 37, Accuracy: 1.0
Epoch: 38, Accuracy: 1.0
Epoch: 39, Accuracy: 1.0
Epoch: 40, Accuracy: 1.0
Epoch: 41, Accuracy: 1.0
Epoch: 42, Accuracy: 1.0
Epoch: 43, Accuracy: 1.0
Epoch: 44, Accuracy: 1.0
Epoch: 45, Accuracy: 1.0
Epoch: 46, Accuracy: 1.0
Epoch: 47, Accuracy: 1.0
Epoch: 48, Accuracy: 1.0
Epoch: 49, Accuracy: 1.0
Epoch: 50, Accuracy: 1.0
Epoch: 51, Accuracy: 1.0
Epoch: 52, Accuracy: 1.0
Epoch: 53, Accuracy: 1.0
Epoch: 54, Accuracy: 1.0
Epoch: 55, Accuracy: 1.0
Epoch: 56, Accuracy: 1.0
Epoch: 57, Accuracy: 1.0
Epoch: 58, Accuracy: 1.0
Epoch: 59, Accuracy: 1.0
Epoch: 60, Accuracy: 1.0
Epoch: 61, Accuracy: 1.0
Epoch: 62, Accuracy: 1.0
Epoch: 63, Accuracy: 1.0
Epoch: 64, Accuracy: 1.0
Epoch: 65, Accuracy: 1.0
Epoch: 66, Accuracy: 1.0
Epoch: 67, Accuracy: 1.0
Epoch: 68, Accuracy: 1.0
Epoch: 69, Accuracy: 1.0
Epoch: 70, Accuracy: 1.0
Epoch: 71, Accuracy: 1.0
Epoch: 72, Accuracy: 1.0
Epoch: 73, Accuracy: 1.0
Epoch: 74, Accuracy: 1.0
Epoch: 75, Accuracy: 1.0
Epoch: 76, Accuracy: 1.0
Epoch: 77, Accuracy: 1.0
Epoch: 78, Accuracy: 1.0
Epoch: 79, Accuracy: 1.0
Epoch: 80, Accuracy: 1.0
Epoch: 81, Accuracy: 1.0
Epoch: 82, Accuracy: 1.0
Epoch: 83, Accuracy: 1.0
Epoch: 84, Accuracy: 1.0
Epoch: 85, Accuracy: 1.0
Epoch: 86, Accuracy: 1.0
Epoch: 87, Accuracy: 1.0
Epoch: 88, Accuracy: 1.0
Epoch: 89, Accuracy: 1.0
Epoch: 90, Accuracy: 1.0
Epoch: 91, Accuracy: 1.0
Epoch: 92, Accuracy: 1.0
Epoch: 93, Accuracy: 1.0
Epoch: 94, Accuracy: 1.0
Epoch: 95, Accuracy: 1.0
Epoch: 96, Accuracy: 1.0
Epoch: 97, Accuracy: 1.0
Epoch: 98, Accuracy: 1.0
Epoch: 99, Accuracy: 1.0
